,Date,New Date,Payload,Vehicle,Company,State
224,06/26/03,,Orbview 3,Pegasus XL,Orbital ATK,CA
225,06/25/17,,Iridium-2,Falcon 9,Space Exploration Technologies Corporation,CA
226,06/24/94,,UHF-3 ,Atlas I,Martin Marrietta,FL
227,06/23/17,,Bulgaria SAT-1,Falcon 9,Space Exploration Technologies Corporation,FL
229,06/23/90,,INTELSAT VI ,Titan,Martin Marrietta,FL
230,06/21/04,,(Flight 15P),SpaceShipOne,Scaled Composites,CA
231,06/19/22,,Globalstar-FM15 ,Falcon 9,Space Exploration Technologies Corporation,FL
232,06/19/01,,ICO 2,Atlas IIAS,Lockheed Martin Commercial Launch Services,FL
233,06/18/22,,SARah-1 ,Falcon 9,Space Exploration Technologies Corporation,CA
235,06/18/98,,INTELSAT 805,Atlas IIAS,Lockheed Martin Commercial Launch Services,FL
236,06/18/91,,JOUST-1 ,Prospector,Space Data,FL
237,06/17/22,,Starlink Group 4-19 ,Falcon 9,Space Exploration Technologies Corporation,FL
238,06/15/16,,ABS-2A/Eutelsat 117W B,Falcon 9,Space Exploration Technologies Corporation,FL
240,06/13/21,,TacRL-2 ,Pegasus XL,"Orbital Sciences, LLC",CA
241,06/13/20,,Starlink ,Falcon 9,Space Exploration Technologies Corporation,FL
243,06/12/22,,LV0010/TROPICS-1 ,Rocket 3.3,Astra,FL
244,06/12/19,,RadarSat ,Falcon 9,Space Exploration Technologies Corporation,CA
245,06/12/90,,INSAT-1D ,Delta 4925,McDonnell Douglas Corporation,FL
246,06/10/99,,GLOBALSTAR 3,Delta II,McDonnell Douglas Corporation,FL
247,06/10/98,,THOR III,Delta II,McDonnell Douglas Corporation,FL
248,06/10/92,,INTELSAT K ,Atlas IIA,General Dynamics,FL
250,07/09/97,,IRIDIUM 2 ,Delta II,McDonnell Douglas Corporation,CA
251,07/07/22,,Starlink Group 4-21 ,Falcon 9,Space Exploration Technologies Corporation,FL
252,07/05/17,,Intelsat-35,Falcon 9,Space Exploration Technologies Corporation,FL
257,07/28/97,,SUPERBIRD-C ,Atlas IIAS,Lockheed Martin Commercial Launch Services,FL
258,07/26/18,,,SpaceShipTwo,Virgin Galactic,CA
259,07/25/19,,CRS-18 ,Falcon 9,Space Exploration Technologies Corporation,FL
260,07/25/18,,Iridium-6 ,Falcon 9,Space Exploration Technologies Corporation,CA
261,07/25/99,,GLOBALSTAR 5,Delta II,McDonnell Douglas Corporation,FL
262,07/25/96,,EHF F7 ,Atlas II,Lockheed Martin Commercial Launch Services,FL
263,07/25/90,,CRRES ,Atlas I,General Dynamics,FL
264,07/24/22,,Starlink Group 4-25 ,Falcon 9,Space Exploration Technologies Corporation,FL
265,07/22/22,,Starlink Group 3-2 ,Falcon 9,Space Exploration Technologies Corporation,CA
266,07/22/18,,Telstar 19V ,Falcon 9,Space Exploration Technologies Corporation,FL
267,07/20/21,,NS-16/M15,New Shepard System,Blue Origin,TX
268,07/20/20,,K-MILSAT 1 ,Falcon 9,Space Exploration Technologies Corporation,FL
269,07/20/18,,N/A ,Astra Rocket 1,"Astra Space, Inc.",AK
270,07/02/22,,Flight 5 ,LauncherOne (L1),"Virgin Orbit, LLC",CA
271,07/18/18,,Multiple Payloads,PM4,Blue Origin,TX
272,07/18/16,,CRS-9,Falcon 9,Space Exploration Technologies Corporation,FL
273,07/17/22,,Starlink Group 4-22 ,Falcon 9,Space Exploration Technologies Corporation,FL
274,07/17/03,,Rainbow,Atlas V,Lockheed Martin Commercial Launch Services,FL
276,07/14/22,,CRS-25 ,Falcon 9,Space Exploration Technologies Corporation,FL
277,07/14/14,,Orbcomm-1 Second Generation Communications Satellites (#1 through #6),Falcon 9,Space Exploration Technologies Corporation,FL
279,07/14/00,,ECHOSTAR VI,Atlas IIAS,Lockheed Martin Commercial Launch Services,FL
281,07/13/14,,Orb-2 Cygnus ,Antares,Orbital ATK,VA
282,07/11/21,,VH-01,SpaceShipTwo,Virgin Galactic,NM
283,07/10/22,,Starlink Group 3-1 ,Falcon 9,Space Exploration Technologies Corporation,CA
284,07/10/99,,GLOBALSTAR 4,Delta II,McDonnell Douglas Corporation,FL
285,07/01/19,,M3 ,SARGE,Exos Aerospace,NM
286,01/09/14,,Orb-1 Cygnus ,Antares,Orbital ATK,VA
287,01/08/91,,NATO IVA ,Delta II,McDonnell Douglas Corporation,FL
288,01/07/21,,Turksat-5A ,Falcon 9,Space Exploration Technologies Corporation,FL
289,01/07/18,,Zuma ,Falcon 9,Space Exploration Technologies Corporation,FL
290,01/07/98,,Lunar Prospector,Athena-2,Lockheed Martin Commercial Launch Services,FL
291,01/06/22,,Starlink Group 4-5 ,Falcon 9,Space Exploration Technologies Corporation,FL
292,01/06/20,,Starlink ,Falcon 9,Space Exploration Technologies Corporation,FL
293,01/06/14,,THAICOM 6 MISSION ,Falcon 9,Space Exploration Technologies Corporation,FL
294,01/05/13,,Scientific ,STIG-B III,Armadillo Aerospace,NM
295,01/31/22,,COSMO-SkyMed ,Falcon 9,Space Exploration Technologies Corporation,FL
296,01/31/18,,GovSat-1,Falcon 9,Space Exploration Technologies Corporation,FL
299,01/29/20,,Starlink ,Falcon 9,Space Exploration Technologies Corporation,FL
300,01/28/95,,EHF-F4 ,Atlas II,Martin Marrietta,FL
301,01/27/99,,ROCSAT,Athena-11,Lockheed Martin Commercial Launch Services,FL
302,01/24/21,,Transporter-1 ,Falcon 9,Space Exploration Technologies Corporation,FL
303,01/23/19,,P7 ,New Shepard System,Blue Origin,TX
304,01/20/21,,Starlink v1.0-16 ,Falcon 9,Space Exploration Technologies Corporation,FL
307,01/19/20,,Crew Dragon/In-Flight Abort ,Falcon 9,Space Exploration Technologies Corporation,FL
308,01/18/22,,Starlink Group 4-6 ,Falcon 9,Space Exploration Technologies Corporation,FL
309,01/17/21,,Flight 2 ,LauncherOne (L1),"Virgin Orbit, LLC",CA
311,01/14/21,,NS-14/M13 ,New Shepard System,Blue Origin,TX
312,01/14/17,,Iridium-1,Falcon 9,Space Exploration Technologies Corporation,CA
313,01/14/96,,KOREASAT-2 ,Delta II,McDonnell Douglas Corporation,FL
314,01/13/22,,Flight 4 ,LauncherOne (L1),"Virgin Orbit, LLC",CA
316,01/11/19,,Iridium-7 ,Falcon 9,Space Exploration Technologies Corporation,CA
318,01/10/15,,Dragon Spacecraft CRS-5,Falcon 9,Space Exploration Technologies Corporation,FL
319,01/10/98,,SKYNET 4D,Delta II,McDonnell Douglas Corporation,FL
320,01/10/95,,INTELSAT-VII-704 ,Atlas IIAS,Martin Marrietta,FL
321,01/01/90,,JCSAT/SKYNET ,Titan,Martin Marrietta,FL
322,02/09/93,,SCD-1/OXP ,Pegasus,Orbital ATK,VA
323,02/08/00,,GLOBALSTAR 7,Delta II,McDonnell Douglas Corporation,FL
324,02/06/18,,Tesla Roadster,Falcon Heavy,Space Exploration Technologies Corporation,FL
325,02/05/04,,AMC-10,Atlas IIAS,Lockheed Martin Commercial Launch Services,FL
326,02/04/21,,Starlink v1.0-18 ,Falcon 9,Space Exploration Technologies Corporation,FL
327,02/03/22,,Starlink Group 4-7 ,Falcon 9,Space Exploration Technologies Corporation,FL
328,02/03/00,,HISPASAT-1C,Atlas IIAS,Lockheed Martin Commercial Launch Services,FL
330,02/28/98,,INTELSAT 806,Atlas IIAS,Lockheed Martin Commercial Launch Services,FL
331,02/26/98,,SNOE,Pegasus XL,Orbital ATK,CA
332,02/25/22,,Starlink Group 4-11 ,Falcon 9,Space Exploration Technologies Corporation,CA
