,Date,New Date,Payload,Vehicle,Company,State
421,08/28/21,,Mass Simulator ,Rocket 3.3LV0006,Astra,AK
422,08/27/22,,Starlink Group 4-23 ,Falcon 9,Space Exploration Technologies Corporation,FL
423,08/27/98,,GALAXY 10,Delta III,McDonnell Douglas Corporation,FL
424,08/27/89,,BSB-R1 ,Delta II,McDonnell Douglas Corporation,FL
425,08/26/21,,NS-17/P11 ,New Shepard System,Blue Origin,TX
426,08/26/17,,ORS-5,Minotaur IV,Orbital ATK,FL
427,08/25/18,,Pathfinder 1 ,SARGE,Exos Aerospace,NM
428,08/24/17,,Formosat-5,Falcon 9,Space Exploration Technologies Corporation,CA
429,08/23/00,,DM-F3 (DEMOSAT),Delta III,TBC,FL
431,08/22/97,,LEWIS ,LMLV-1,Lockheed Martin Commercial Launch Services,CA
432,08/22/92,,GALAXY 1R ,Atlas I,General Dynamics,FL
433,08/21/02,,HOTBIRD 6,Atlas V,Lockheed Martin Commercial Launch Services,FL
434,08/21/97,,IRIDIUM 3 ,Delta II,McDonnell Douglas Corporation,CA
436,08/02/98,,ORBCOMM II,Pegasus XL,Orbital ATK,VA
437,08/19/22,,Starlink Group 4-27 ,Falcon 9,Space Exploration Technologies Corporation,FL
439,08/18/20,,Starlink v1.0-10 ,Falcon 9,Space Exploration Technologies Corporation,FL
441,08/17/99,,GLOBALSTAR 6,Delta II,McDonnell Douglas Corporation,FL
442,08/17/90,,BSB-R2 ,Delta II,McDonnell Douglas Corporation,FL
443,08/15/95,,GEMSTAR ,LLV-1,Lockheed Martin Commercial Launch Services,CA
444,08/14/17,,CRS-12,Falcon 9,Space Exploration Technologies Corporation,FL
445,08/14/16,,JCSat-16,Falcon 9,Space Exploration Technologies Corporation,FL
446,08/13/14,,WorldView-3 Satellite,Atlas V-401,Lockheed Martin Commercial Launch Services,CA
447,08/12/22,,Starlink 3-3 ,Falcon 9,Space Exploration Technologies Corporation,CA
448,08/10/21,,NG-16 ,Antares,Orbital Sciences Corp,VA
449,08/01/97,,SEASTAR ,Pegasus XL,Orbital ATK,CA
450,04/08/22,,Axiom-1,Falcon 9,Space Exploration Technologies Corporation,FL
451,04/08/16,,Dragon Spacecraft CRS-8,Falcon 9,Space Exploration Technologies Corporation,FL
452,04/08/04,,(Flight 13P),SpaceShipOne,Scaled Composites,CA
453,04/07/21,,Starlink v1.0-23 ,Falcon 9,Space Exploration Technologies Corporation,FL
454,04/07/95,,MSAT ,Atlas IIA,Martin Marrietta,FL
455,04/05/18,,,SpaceShipTwo,Virgin Galactic,CA
456,04/30/96,,SAX ,Atlas I,Lockheed Martin Commercial Launch Services,FL
457,04/03/96,,CONQUEST ,Starfire 1,EER Systems Corporation,NM
459,04/03/95,,ORBCOMM FM1 & 2 ,Std Pegasus,Orbital ATK,CA
460,04/29/22,,Starlink Group 4-16 ,Falcon 9,Space Exploration Technologies Corporation,FL
461,04/29/21,,Starlink v1.0-24 ,Falcon 9,Space Exploration Technologies Corporation,FL
462,04/29/18,,M8 ,New Shepard System,Blue Origin,TX
463,04/27/22,,Crew-4,Falcon 9,Space Exploration Technologies Corporation,FL
464,04/27/15,,TurkmenAlem52E/MonacoSat Communication Satellite,Falcon 9,Space Exploration Technologies Corporation,FL
465,04/27/99,,IKONOS 1,Athena-2,Lockheed Martin Commercial Launch Services,CA
467,04/24/98,,GLOBALSTAR 2,Delta II,McDonnell Douglas Corporation,FL
468,04/24/96,,MSX ,Delta II,McDonnell Douglas Corporation,CA
469,04/23/21,,Crew-2,Falcon 9,Space Exploration Technologies Corporation,FL
470,04/22/20,,Starlink ,Falcon 9,Space Exploration Technologies Corporation,FL
471,04/21/22,,Starlink Group 4-14 ,Falcon 9,Space Exploration Technologies Corporation,FL
472,04/21/13,,Mass Simulator,Antares,Orbital ATK,VA
475,04/20/06,,Astra 1KR,Atlas V,Lockheed Martin Commercial Launch Services,FL
477,04/02/18,,CRS-14 ,Falcon 9,Space Exploration Technologies Corporation,FL
478,04/18/17,,OA-7 Cygnus,Atlas V,United Launch Alliance,FL
479,04/18/14,,Dragon,Falcon 9,Space Exploration Technologies Corporation,FL
480,04/18/91,,BS-3H ,Atlas I,General Dynamics,FL
481,04/17/19,,NG-11 Cygnus ,Antares,Orbital Sciences Corp.,VA
483,04/16/04,,Superbird-6,Atlas IIAS,Lockheed Martin Commercial Launch Services,FL
484,04/14/21,,NS-15/M14 ,New Shepard System,Blue Origin,TX
485,04/14/15,,Dragon Spacecraft CRS-6,Falcon 9,Space Exploration Technologies Corporation,FL
486,04/14/08,,ICO-G1,Atlas V-421,Lockheed Martin Commercial Launch Services,FL
487,04/13/91,,ASC-2 ,Delta II,McDonnell Douglas Corporation,FL
488,04/13/90,,PALAPA B2-R ,Delta II,McDonnell Douglas Corporation,FL
489,04/12/03,,ASIASAT 4,Atlas IIIB,Lockheed Martin Commercial Launch Services,FL
490,04/12/99,,EUTELSAT W3,Atlas IIAS,Lockheed Martin Commercial Launch Services,FL
491,04/11/19,,Arabsat 6A ,Falcon Heavy,Space Exploration Technologies Corporation,FL
493,04/01/22,,Transporter-4 ,Falcon 9,Space Exploration Technologies Corporation,FL
